name,category,base,overlay,tags,master_svg,theme_svg_pattern,png_pattern
chevron_down,navigation,chevron_down,,,svg/master/chevron_down.svg,svg/{theme}/chevron_down.svg,png/{theme}/{size}/chevron_down.png
refresh,navigation,refresh,,,svg/master/refresh.svg,svg/{theme}/refresh.svg,png/{theme}/{size}/refresh.png
reload,navigation,refresh,,,svg/master/reload.svg,svg/{theme}/reload.svg,png/{theme}/{size}/reload.png
sync,navigation,refresh,sync,,svg/master/sync.svg,svg/{theme}/sync.svg,png/{theme}/{size}/sync.png
stop_loading,navigation,close,,,svg/master/stop_loading.svg,svg/{theme}/stop_loading.svg,png/{theme}/{size}/stop_loading.png
menu,navigation,menu,,,svg/master/menu.svg,svg/{theme}/menu.svg,png/{theme}/{size}/menu.png
hamburger_menu,navigation,menu,,,svg/master/hamburger_menu.svg,svg/{theme}/hamburger_menu.svg,png/{theme}/{size}/hamburger_menu.png
more_horizontal,navigation,ellipsis_h,,,svg/master/more_horizontal.svg,svg/{theme}/more_horizontal.svg,png/{theme}/{size}/more_horizontal.png
more_vertical,navigation,ellipsis_v,,,svg/master/more_vertical.svg,svg/{theme}/more_vertical.svg,png/{theme}/{size}/more_vertical.png
grid_view,navigation,grid,,,svg/master/grid_view.svg,svg/{theme}/grid_view.svg,png/{theme}/{size}/grid_view.png
list_view,navigation,list,,,svg/master/list_view.svg,svg/{theme}/list_view.svg,png/{theme}/{size}/list_view.png
table_view,navigation,table,,,svg/master/table_view.svg,svg/{theme}/table_view.svg,png/{theme}/{size}/table_view.png
details_view,navigation,list,info,,svg/master/details_view.svg,svg/{theme}/details_view.svg,png/{theme}/{size}/details_view.png
thumbnail_view,navigation,grid,image,,svg/master/thumbnail_view.svg,svg/{theme}/thumbnail_view.svg,png/{theme}/{size}/thumbnail_view.png
preview_pane,navigation,eye,,,svg/master/preview_pane.svg,svg/{theme}/preview_pane.svg,png/{theme}/{size}/preview_pane.png
hide_pane,navigation,eye,slash,,svg/master/hide_pane.svg,svg/{theme}/hide_pane.svg,png/{theme}/{size}/hide_pane.png
window,navigation,window,,,svg/master/window.svg,svg/{theme}/window.svg,png/{theme}/{size}/window.png
window_new,navigation,window,add,,svg/master/window_new.svg,svg/{theme}/window_new.svg,png/{theme}/{size}/window_new.png
window_close,navigation,window,close,,svg/master/window_close.svg,svg/{theme}/window_close.svg,png/{theme}/{size}/window_close.png
window_minimize,navigation,window,minus,,svg/master/window_minimize.svg,svg/{theme}/window_minimize.svg,png/{theme}/{size}/window_minimize.png
window_maximize,navigation,window,up,,svg/master/window_maximize.svg,svg/{theme}/window_maximize.svg,png/{theme}/{size}/window_maximize.png
window_restore,navigation,window,down,,svg/master/window_restore.svg,svg/{theme}/window_restore.svg,png/{theme}/{size}/window_restore.png
window_fullscreen,navigation,window,up,,svg/master/window_fullscreen.svg,svg/{theme}/window_fullscreen.svg,png/{theme}/{size}/window_fullscreen.png
window_split,navigation,window,grid,,svg/master/window_split.svg,svg/{theme}/window_split.svg,png/{theme}/{size}/window_split.png
window_tile,navigation,window,grid,,svg/master/window_tile.svg,svg/{theme}/window_tile.svg,png/{theme}/{size}/window_tile.png
window_cascade,navigation,window,copy,,svg/master/window_cascade.svg,svg/{theme}/window_cascade.svg,png/{theme}/{size}/window_cascade.png
tab,navigation,window,info,,svg/master/tab.svg,svg/{theme}/tab.svg,png/{theme}/{size}/tab.png
tab_new,navigation,window,add,,svg/master/tab_new.svg,svg/{theme}/tab_new.svg,png/{theme}/{size}/tab_new.png
tab_close,navigation,window,close,,svg/master/tab_close.svg,svg/{theme}/tab_close.svg,png/{theme}/{size}/tab_close.png
tab_duplicate,navigation,window,copy,,svg/master/tab_duplicate.svg,svg/{theme}/tab_duplicate.svg,png/{theme}/{size}/tab_duplicate.png
tab_pin,navigation,window,pin,,svg/master/tab_pin.svg,svg/{theme}/tab_pin.svg,png/{theme}/{size}/tab_pin.png
sidebar,navigation,window,left,,svg/master/sidebar.svg,svg/{theme}/sidebar.svg,png/{theme}/{size}/sidebar.png
panel_left,navigation,window,left,,svg/master/panel_left.svg,svg/{theme}/panel_left.svg,png/{theme}/{size}/panel_left.png
panel_right,navigation,window,right,,svg/master/panel_right.svg,svg/{theme}/panel_right.svg,png/{theme}/{size}/panel_right.png
panel_top,navigation,window,up,,svg/master/panel_top.svg,svg/{theme}/panel_top.svg,png/{theme}/{size}/panel_top.png
panel_bottom,navigation,window,down,,svg/master/panel_bottom.svg,svg/{theme}/panel_bottom.svg,png/{theme}/{size}/panel_bottom.png
browser,navigation,browser,,,svg/master/browser.svg,svg/{theme}/browser.svg,png/{theme}/{size}/browser.png
browser_back,navigation,browser,left,,svg/master/browser_back.svg,svg/{theme}/browser_back.svg,png/{theme}/{size}/browser_back.png
browser_forward,navigation,browser,right,,svg/master/browser_forward.svg,svg/{theme}/browser_forward.svg,png/{theme}/{size}/browser_forward.png
browser_refresh,navigation,browser,sync,,svg/master/browser_refresh.svg,svg/{theme}/browser_refresh.svg,png/{theme}/{size}/browser_refresh.png
browser_home,navigation,browser,user,,svg/master/browser_home.svg,svg/{theme}/browser_home.svg,png/{theme}/{size}/browser_home.png
browser_lock,navigation,browser,lock,,svg/master/browser_lock.svg,svg/{theme}/browser_lock.svg,png/{theme}/{size}/browser_lock.png
zoom_in,navigation,search,add,,svg/master/zoom_in.svg,svg/{theme}/zoom_in.svg,png/{theme}/{size}/zoom_in.png
zoom_out,navigation,search,remove,,svg/master/zoom_out.svg,svg/{theme}/zoom_out.svg,png/{theme}/{size}/zoom_out.png
zoom_reset,navigation,search,sync,,svg/master/zoom_reset.svg,svg/{theme}/zoom_reset.svg,png/{theme}/{size}/zoom_reset.png
play,media,play,,,svg/master/play.svg,svg/{theme}/play.svg,png/{theme}/{size}/play.png
pause,media,pause,,,svg/master/pause.svg,svg/{theme}/pause.svg,png/{theme}/{size}/pause.png
stop,media,stop,,,svg/master/stop.svg,svg/{theme}/stop.svg,png/{theme}/{size}/stop.png
record,media,record,,,svg/master/record.svg,svg/{theme}/record.svg,png/{theme}/{size}/record.png
previous,media,arrow_left,left,,svg/master/previous.svg,svg/{theme}/previous.svg,png/{theme}/{size}/previous.png
next,media,arrow_right,right,,svg/master/next.svg,svg/{theme}/next.svg,png/{theme}/{size}/next.png
